ADA,AVAX,BCH,BNB,BTC,DOGE,DOT1,ETC,ETH,LINK,LTC,LUNA1,MATIC,SOL1,UNI3,VET,XLM,XRP
0.108083002,4.262105942,270.3146667,30.63396072,12931.53906,0.002647,4.266849995,5.482522011,409.7666931,12.16379547,55.23868942,0.316516012,0.017039999,1.960034966,3.012190104,0.012229,0.083795004,0.254878998
0.108075,4.189700127,275.1220093,30.58882141,13108.0625,0.002646,4.355343819,5.525562763,412.4576111,12.73154831,59.09558868,0.311544001,0.017682999,1.911828041,2.943257093,0.012288,0.085437,0.256431013
0.106351003,4.153210163,271.0794373,30.10754013,13031.17383,0.002653,4.335230827,5.548081875,406.2177734,12.16005898,58.67480087,0.308086008,0.017165,1.787459016,2.775747061,0.011785,0.083143003,0.253212988
0.103096999,4.160973072,259.7825928,31.15456009,13075.24805,0.002679,4.727015972,5.450547218,393.8883057,11.74790192,56.74577713,0.304185003,0.016562,1.685466051,2.725903034,0.011407,0.080907002,0.248687997
0.102826998,4.122242928,264.5394287,31.63872147,13654.21875,0.002677,4.683951855,5.4540658,403.9970398,11.9738369,57.81605148,0.30915001,0.015799999,1.710232019,2.822398901,0.011378,0.081808999,0.252898991
1.189244032,28.41875076,561.6582642,335.2128906,59095.80859,0.061985999,37.67287827,14.41088676,1977.276855,30.23321915,204.1125183,18.51649475,0.36422199,19.08490181,28.73943138,0.089040004,0.432511985,0.579291999
1.196509004,29.11761093,585.7074585,339.0077209,59384.3125,0.057663999,41.16428375,15.28859901,2143.225586,32.5332489,213.2283936,18.56660461,0.384002,19.81022263,30.17564583,0.095040001,0.446585,0.616568983
1.17327702,28.25184822,536.678833,323.1335144,57603.89063,0.055803999,41.64603043,13.66550732,2028.422485,29.53488922,197.1482086,18.14192772,0.354030997,22.55227661,29.5498848,0.088818997,0.418054014,0.590915024
1.191419959,29.32971191,566.5130615,351.6243896,58758.55469,0.057404,44.65221024,14.61721325,2093.122803,30.95728111,204.0429077,18.34749794,0.362637013,24.06132317,31.06555557,0.094086997,0.437806994,0.646728992
1.214300036,31.24659348,648.5609741,367.7724915,59057.87891,0.059696,45.79722977,16.12794113,2107.887207,32.39665604,221.069046,17.5604744,0.370032996,22.98428345,30.79484558,0.102559999,0.536366999,0.92047298
1.255354047,31.55449486,667.7485962,403.5907593,58192.35938,0.064457998,43.43019867,17.86155128,2118.378906,34.79787827,237.6649017,16.73322487,0.374565989,24.95714569,31.32274818,0.1127,0.542743981,1.096266031
1.175148964,29.476511,618.5975342,374.6588135,56048.9375,0.059028,39.59401321,19.19184875,1971.077271,31.17518425,219.4236755,15.46347427,0.337208003,26.47808075,28.59392548,0.10571,0.473280013,0.917576015
