Date,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,DOT1-USD,ETC-USD,ETH-USD,LINK-USD,LTC-USD,LUNA1-USD,MATIC-USD,SOL1-USD,UNI3-USD,VET-USD,XLM-USD,XRP-USD
2017-12-31,0.719694972038269,,2533.010009765625,8.635580062866211,14156.400390625,0.00897200033068657,,27.99799919128418,756.7329711914062,0.6015520095825195,232.0959930419922,,,,,,0.3607560098171234,2.300570011138916
2018-01-01,0.7286570072174072,,2432.5400390625,8.414609909057617,13657.2001953125,0.00890900008380413,,34.16790008544922,772.6409912109375,0.7335630059242249,229.0330047607422,,,,,,0.48000800609588623,2.3910300731658936
2018-01-02,0.7825869917869568,,2711.0,8.837770462036133,14982.099609375,0.009145000018179417,,34.91709899902344,884.4439697265625,0.6737120151519775,255.6840057373047,,,,,,0.564765989780426,2.4809000492095947
2018-01-03,1.0796600580215454,,2608.68994140625,9.535880088806152,15201.0,0.009320000186562538,,34.863399505615234,962.719970703125,0.6811670064926147,245.3679962158203,,,,,,0.8962270021438599,3.105370044708252
2018-01-04,1.1141200065612793,,2430.179931640625,9.213990211486816,15599.2001953125,0.009643999859690666,,36.31800079345703,980.9219970703125,0.9843680262565613,241.3699951171875,,,,,,0.724049985408783,3.1966300010681152
2018-01-05,0.9995589852333069,,2584.47998046875,14.917200088500977,17429.5,0.012167000211775303,,36.199501037597656,997.719970703125,0.9074860215187073,249.27099609375,,,,,,0.6627119779586792,3.0487101078033447
2018-01-06,1.02715003490448,,2786.64990234375,22.75979995727539,17527.0,0.014863000251352787,,38.424800872802734,1041.6800537109375,1.0635700225830078,296.4540100097656,,,,,,0.709945023059845,3.0939700603485107
2018-01-07,1.0085200071334839,,2786.8798828125,18.65679931640625,16477.599609375,0.01708799973130226,,40.79309844970703,1153.1700439453125,1.2704600095748901,288.45098876953125,,,,,,0.6996449828147888,3.377810001373291
2018-01-08,0.8990020155906677,,2421.469970703125,18.260900497436523,15170.099609375,0.015045000240206718,,34.18629837036133,1148.530029296875,1.3773000240325928,255.76300048828125,,,,,,0.6293230056762695,2.456209897994995
2018-01-09,0.8147429823875427,,2391.56005859375,17.411800384521484,14595.400390625,0.013419999741017818,,38.32160186767578,1299.739990234375,1.228279948234558,247.03700256347656,,,,,,0.5856530070304871,2.1017799377441406
2018-01-10,0.7931209802627563,,2895.3798828125,17.39080047607422,14973.2998046875,0.013101999647915363,,36.95220184326172,1255.8199462890625,1.1887099742889404,250.51800537109375,,,,,,0.5669299960136414,1.9749200344085693
2018-01-11,0.6884120106697083,,2462.610107421875,21.042699813842773,13405.7998046875,0.011469000019133091,,32.79389953613281,1154.9300537109375,1.0103299617767334,229.36599731445312,,,,,,0.5581259727478027,1.9507999420166016
2018-01-12,0.8975080251693726,,2620.989990234375,22.316299438476562,13980.599609375,0.013055999763309956,,36.403900146484375,1273.199951171875,1.0515600442886353,236.8560028076172,,,,,,0.6779599785804749,2.0432300567626953
2018-01-13,0.8841239809989929,,2685.2900390625,22.174400329589844,14360.2001953125,0.013023000210523605,,42.39390182495117,1396.4200439453125,1.1012300252914429,259.1929931640625,,,,,,0.671563982963562,2.0213499069213867
2018-01-14,0.802262008190155,,2553.320068359375,20.777299880981445,13772.0,0.011683999560773373,,42.957298278808594,1366.77001953125,1.0108400583267212,238.6750030517578,,,,,,0.6308559775352478,1.8611899614334106
2018-01-15,0.7785869836807251,,2401.5400390625,19.564699172973633,13819.7998046875,0.009856999851763248,,40.495601654052734,1291.9200439453125,0.8776879906654358,232.7740020751953,,,,,,0.5992709994316101,1.6767300367355347
2018-01-16,0.626492977142334,,1772.0699462890625,13.891900062561035,11490.5,0.006821999792009592,,28.457300186157227,1053.68994140625,0.7564529776573181,188.33099365234375,,,,,,0.441197007894516,1.1792399883270264
2018-01-17,0.6291019916534424,,1748.050048828125,14.203200340270996,11188.599609375,0.007648000027984381,,29.123600006103516,1014.25,0.6986340284347534,186.51600646972656,,,,,,0.47718700766563416,1.306339979171753
2018-01-18,0.6598430275917053,,1756.75,14.280400276184082,11474.900390625,0.00796900037676096,,30.186199188232422,1036.280029296875,0.7442299723625183,192.83700561523438,,,,,,0.5095229744911194,1.5965800285339355
2018-01-19,0.6504979729652405,,1769.6199951171875,14.940600395202637,11607.400390625,0.007871000096201897,,31.704299926757812,1039.0999755859375,0.8129050135612488,192.96400451660156,,,,,,0.5062320232391357,1.552049994468689
2018-01-20,0.7075099945068359,,2032.1199951171875,16.19029998779297,12899.2001953125,0.008448000065982342,,35.00910186767578,1155.1500244140625,1.2193000316619873,211.01800537109375,,,,,,0.5346770286560059,1.5786199569702148
2018-01-21,0.6131629943847656,,1776.6400146484375,14.068300247192383,11600.099609375,0.0071310000494122505,,30.322099685668945,1049.5799560546875,0.88782799243927,190.42100524902344,,,,,,0.46411699056625366,1.3800400495529175
2018-01-22,0.5704579949378967,,1621.9200439453125,13.014599800109863,10931.400390625,0.00673400005325675,,29.26460075378418,1003.260009765625,0.8028579950332642,180.00799560546875,,,,,,0.4863379895687103,1.3573499917984009
2018-01-23,0.5630699992179871,,1621.4599609375,13.093500137329102,10868.400390625,0.006672999821603298,,28.366500854492188,986.22900390625,0.8019170165061951,177.8070068359375,,,,,,0.4861850142478943,1.3370699882507324
2018-01-24,0.6222079992294312,,1639.1300048828125,13.628700256347656,11359.400390625,0.007083000149577856,,29.60409927368164,1058.780029296875,0.7928630113601685,179.98699951171875,,,,,,0.5670139789581299,1.3571499586105347
